"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 13:54:26 IST 2024","Sun Feb 18 13:54:28 IST 2024","1624","chromium","APITests.spec.js","","","","getBookingIds by all IDs",""
"passed","Sun Feb 18 13:55:01 IST 2024","Sun Feb 18 13:55:06 IST 2024","5062","firefox","e2e.spec.js","","","","Add to products into the cart",""
"passed","Sun Feb 18 13:55:23 IST 2024","Sun Feb 18 13:55:28 IST 2024","4998","webkit","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sun Feb 18 13:54:42 IST 2024","Sun Feb 18 13:54:50 IST 2024","8208","firefox","e2e.spec.js","","","","count the number of products",""
"passed","Sun Feb 18 13:54:34 IST 2024","Sun Feb 18 13:54:37 IST 2024","2791","chromium","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sun Feb 18 13:54:31 IST 2024","Sun Feb 18 13:54:33 IST 2024","1211","chromium","APITests.spec.js","","","","getBooking by ID",""
"passed","Sun Feb 18 13:54:40 IST 2024","Sun Feb 18 13:54:42 IST 2024","1510","firefox","APITests.spec.js","","","","getBookingIds by all IDs",""
"passed","Sun Feb 18 13:55:09 IST 2024","Sun Feb 18 13:55:15 IST 2024","5939","webkit","e2e.spec.js","","","","count the number of products",""
"passed","Sun Feb 18 13:54:46 IST 2024","Sun Feb 18 13:54:47 IST 2024","1304","firefox","APITests.spec.js","","","","getBooking by ID",""
"passed","Sun Feb 18 13:54:24 IST 2024","Sun Feb 18 13:54:26 IST 2024","2111","chromium","APITests.spec.js","","","","Create Token",""
"passed","Sun Feb 18 13:54:48 IST 2024","Sun Feb 18 13:54:50 IST 2024","1264","firefox","APITests.spec.js","","","","Partial Update Booking",""
"passed","Sun Feb 18 13:54:57 IST 2024","Sun Feb 18 13:54:59 IST 2024","1121","webkit","APITests.spec.js","","","","getBookingIds by filter name",""
"passed","Sun Feb 18 13:54:54 IST 2024","Sun Feb 18 13:54:58 IST 2024","3940","firefox","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"passed","Sun Feb 18 13:54:24 IST 2024","Sun Feb 18 13:54:29 IST 2024","4791","chromium","e2e.spec.js","","","","count the number of products",""
"passed","Sun Feb 18 13:54:47 IST 2024","Sun Feb 18 13:54:48 IST 2024","1503","firefox","APITests.spec.js","","","","Update Booking",""
"passed","Sun Feb 18 13:54:58 IST 2024","Sun Feb 18 13:55:01 IST 2024","3714","firefox","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"passed","Sun Feb 18 13:55:00 IST 2024","Sun Feb 18 13:55:01 IST 2024","1301","webkit","APITests.spec.js","","","","Create Booking",""
"passed","Sun Feb 18 13:54:29 IST 2024","Sun Feb 18 13:54:31 IST 2024","2539","chromium","e2e.spec.js","","","","check the product available or not",""
"passed","Sun Feb 18 13:54:31 IST 2024","Sun Feb 18 13:54:34 IST 2024","2729","chromium","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"passed","Sun Feb 18 13:55:03 IST 2024","Sun Feb 18 13:55:04 IST 2024","1312","webkit","APITests.spec.js","","","","Update Booking",""
"passed","Sun Feb 18 13:55:28 IST 2024","Sun Feb 18 13:55:38 IST 2024","9274","webkit","e2e.spec.js","","","","Add to products into the cart",""
"passed","Sun Feb 18 13:55:01 IST 2024","Sun Feb 18 13:55:03 IST 2024","1219","webkit","APITests.spec.js","","","","getBooking by ID",""
"passed","Sun Feb 18 13:54:59 IST 2024","Sun Feb 18 13:55:00 IST 2024","1500","webkit","APITests.spec.js","","","","getBookingIds by checkin checkout",""
